ProductDesc,MfgOrderName,ProductNameM,SizeGroupM,MO_Qty,edwMESProcessingComplete,edwContainerName,edwEmployeeNumber,edwFactoryName,edwResourceName,Line_Num,ShiftName,edwWorkflowName,TxnDate,OperationId,OpsSequence,OperationName,InRework,edwTxnName,edwTxnTypeName,edwPreTxnContainerQty,edwPostTxnContainerQty,edwFromOperationName,edwToOperationName,edwFromStep_JobStep,edwToStep_JobStep,ReworkReasonName,edwReasonCodeName,TxnId
P,63561179,10039308104,A,10,Y,63561179-8082320,417819,SNG01                         ,DOC-0142972_WS04A,4,Shift 2,DOC-0143161_WF,12/29/2020 19:24,00060e40000005d7,24,24-DOC-0142972_OP,N,edw Move Std,,1,1,,,,,,,20000000002fed0d
P,63561179,10039308104,A,10,Y,63561179-8082319,417819,SNG01                         ,DOC-0142972_WS04A,4,Shift 2,DOC-0143161_WF,12/29/2020 19:34,00060e40000005d7,24,24-DOC-0142972_OP,N,edw Move Std,,1,1,,,,,,,20000000002fee01
P,63561179,10039308104,A,10,Y,63561179-8082321,418418,SNG01                         ,DOC-0142972_WS04A,4,Shift 2,DOC-0143161_WF,12/29/2020 19:38,00060e40000005d7,24,24-DOC-0142972_OP,N,edw Move In,,1,1,,,,,,,20000000002fee6e
P,63561179,10039308104,A,10,Y,63561179-8082321,418418,SNG01                         ,DOC-0142972_WS04A,4,Shift 2,DOC-0143161_WF,12/29/2020 19:53,00060e40000005d7,24,24-DOC-0142972_OP,N,edw Move Std,,1,1,,,,,,,20000000002ff037
P,63561179,10039308104,A,10,Y,63561179-8082323,418418,SNG01                         ,DOC-0142972_WS04A,4,Shift 2,DOC-0143161_WF,12/29/2020 20:12,00060e40000005d7,24,24-DOC-0142972_OP,N,edw Move In,,1,1,,,,,,,20000000002ff20f
P,63561179,10039308104,A,10,Y,63561179-8082323,418418,SNG01                         ,DOC-0142972_WS04A,4,Shift 2,DOC-0143161_WF,12/29/2020 20:27,00060e40000005d7,24,24-DOC-0142972_OP,N,edw Move Std,,1,1,,,,,,,20000000002ff3a4
P,63561179,10039308104,A,10,Y,63561179-8082324,418418,SNG01                         ,DOC-0142972_WS04A,4,Shift 2,DOC-0143161_WF,12/29/2020 20:28,00060e40000005d7,24,24-DOC-0142972_OP,N,edw Move In,,1,1,,,,,,,20000000002ff3df
P,63561179,10039308104,A,10,Y,63561179-8082324,418418,SNG01                         ,DOC-0142972_WS04A,4,Shift 2,DOC-0143161_WF,12/29/2020 20:41,00060e40000005d7,24,24-DOC-0142972_OP,N,edw Move Std,,1,1,,,,,,,20000000002ff55a
P,63561179,10039308104,A,10,Y,63561179-8082325,418418,SNG01                         ,DOC-0142972_WS04A,4,Shift 2,DOC-0143161_WF,12/29/2020 20:44,00060e40000005d7,24,24-DOC-0142972_OP,N,edw Move In,,1,1,,,,,,,20000000002ff5bb
P,63561179,10039308104,A,10,Y,63561179-8082325,418418,SNG01                         ,DOC-0142972_WS04A,4,Shift 2,DOC-0143161_WF,12/29/2020 20:57,00060e40000005d7,24,24-DOC-0142972_OP,N,edw Move Std,,1,1,,,,,,,20000000002ff71c
P,63561184,10039308104,A,10,Y,63561184-8082493,415228,SNG01                         ,DOC-0142972_WS10A,10,Shift 1,DOC-0143161_WF,1/4/2021 9:06,00060e40000005d7,24,24-DOC-0142972_OP,N,edw Move In,,1,1,,,,,,,200000000030a547
P,63561184,10039308104,A,10,Y,63561184-8082493,415228,SNG01                         ,DOC-0142972_WS10A,10,Shift 1,DOC-0143161_WF,1/4/2021 9:19,00060e40000005d7,24,24-DOC-0142972_OP,N,edw Move Std,,1,1,,,,,,,200000000030a6bb
